"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D1";"D_DO-201AD_P12.70mm_Horizontal";1;"1N5822";;;
2;"SW33,SW9,SW35,SW43,SW8,SW4,SW37,SW25,SW19,SW45,SW32,SW2,SW23,SW21,SW18,SW22,SW3,SW20,SW10,SW12,SW29,SW27,SW38,SW30,SW13,SW1,SW46,SW31,SW11,SW7,SW6,SW16,SW28,SW24,SW44,SW40,SW39,SW26,SW17,SW34,SW14,SW42,SW41,SW48,SW36,SW47,SW5,SW15";"Kailh_socket_MX_optional";48;"KEY";;;
3;"D44,D31,D32,D25,D42,D41,D29,D14,D45,D34,D36,D8,D2,D26,D19,D35,D10,D13,D51,D38,D43,D11,D37,D17,D40,D39,D33,D18,D27,D6,D50,D24,D49,D46,D15,D5,D20,D48,D7,D47,D4,D9,D28,D16,D23,D52,D3,D30,D21,D22,D12";"D_DO-35_SOD27_P7.62mm_Horizontal";51;"1N4148";;;
4;"R2,R1";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";2;"4.7K";;;
5;"SWT2";"A101SYCQ04";1;"A103SYCQ04";;;
6;"JP1,JP4,JP2,JP3";"PinHeader_1x02_P2.54mm_Vertical";4;"Jumper_2_Bridged";;;
7;"C1,C2";"C_Disc_D4.3mm_W1.9mm_P5.00mm";2;"100nF";;;
8;"J8,J7,J3";"PinHeader_1x08_P2.54mm_Vertical";3;"01x08";;;
9;"J4";"vasch_strip_10x2";1;"JTAG";;;
10;"R3";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";1;"1K";;;
11;"BT1,BT1";"2481";2;"4xAAA";;;
12;"EdgePro1";"EdgePro1";1;"EdgePro1";;;
13;"J1,J5";"PinHeader_1x06_P2.54mm_Vertical";2;"01x06";;;
14;"U2";"Adafruit 2.7in Sharp Memory Display";1;"Adafruit_2.7in_Sharp_Memory_Display";;;
15;"SWT1";"A101SYCQ04";1;"A101SYCQ04";;;
16;"SWR1";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";1;"RotaryEncoder_Switch";;;
17;"U3,U4";"DIP-28_W7.62mm";2;"MCP23017_SP";;;
18;"J2,J6";"PinHeader_1x10_P2.54mm_Vertical";2;"01x10";;;
